%
@relation 'MegaSena'
@attribute Concurso real
@attribute DataSorteio real
@attribute 1Dezena real
@attribute 2Dezena real
@attribute 3Dezena real
@attribute 4Dezena real
@attribute 5Dezena real
@attribute 6Dezena real
@attribute ArrecadacaoTotal real
@attribute GanhadoresSena real
@attribute RateioSena real
@attribute GanhadoresQuina real
@attribute RateioQuina real
@attribute GanhadoresQuadra real
@attribute RateioQuadra real
@attribute Acumulado {SIM, NAO}
@attribute ValorAcumulado real
@attribute EstimativaPremio real
@attribute AcumuladoMegadaVirada real
@data
81,21091997,47,41,10,60,54,23,0,0,0,62,19453.15,4870,247.17,SIM,12401021.68,0,0
82,28091997,51,36,53,29,18,15,0,1,13877826.02,77,15982.73,5889,208.57,NAO,0,0,0
83,05101997,24,16,4,42,57,15,0,0,0,76,9408.43,4756,150.04,SIM,858048.93,0,0
84,12101997,10,34,4,6,25,40,0,0,0,102,7539.68,5546,138.4,SIM,1780905.80,0,0
85,19101997,47,15,30,37,45,6,0,0,0,45,17279.25,4312,179.96,SIM,2713984.86,0,0
86,26101997,54,21,6,34,36,22,0,0,0,48,16752.96,3752,213.9,SIM,3678955.17,0,0
87,02111997,40,4,28,32,11,5,0,0,0,64,12696.60,5195,156.11,SIM,4654053.86,0,0
88,09111997,45,37,29,4,43,18,0,0,0,110,7965.82,6805,128.51,SIM,5705540.99,0,0
89,16111997,59,42,34,13,44,55,0,0,0,36,24246.00,3847,226.45,SIM,6752968.26,0,0
90,23111997,21,26,40,54,9,52,0,1,15764300.87,74,18584.49,4763,288.17,NAO,0,0,0
91,30111997,60,4,10,35,39,2,0,0,0,68,9588.80,3878,167.81,SIM,782445.93,0,0
92,07121997,5,23,51,3,1,24,0,0,0,75,9792.64,5530,132.56,SIM,1663783.45,0,0
93,14121997,22,53,31,28,2,36,0,0,0,61,12369.31,3795,198.44,SIM,2569217.31,0,0
94,21121997,28,51,55,18,52,8,0,0,0,25,31457.49,2086,376.26,SIM,3512942.16,0,0
95,28121997,46,60,6,40,50,45,0,0,0,22,30807.89,2185,309.58,SIM,4326270.55,0,0
96,04011998,4,42,58,26,7,40,0,1,5218562.47,62,11993.17,3984,186.27,NAO,0,0,0
97,11011998,56,53,11,14,5,35,0,1,727932.66,56,10832.33,3441,175.94,NAO,0,0,0
98,18011998,43,33,14,31,35,13,0,0,0,89,6508.88,4972,116.28,SIM,695149.05,0,0
99,25011998,30,33,24,11,46,60,0,0,0,46,14037.92,3015,213.76,SIM,1470041.96,0,0
100,01021998,46,48,30,14,29,51,0,0,0,56,15930.48,3600,247.32,SIM,8585129.47,0,0
101,08021998,39,1,37,31,29,18,0,0,0,52,20589.41,4653,229.64,SIM,9869908.65,0,0
102,15021998,44,42,37,56,19,20,0,1,11336626.88,73,16743.36,6197,196.85,NAO,0,0,0
103,22021998,9,1,57,7,54,49,0,1,696984.24,28,20743.58,2632,220.24,NAO,0,0,0
104,01031998,13,1,38,21,52,4,0,0,0,37,14006.33,2588,199.85,SIM,621880.72,0,0
105,08031998,3,13,31,43,46,49,0,0,0,55,11824.08,4875,133.14,SIM,1402269.88,0,0
106,15031998,24,16,38,5,39,35,9795278.00,0,0,94,7678.27,5390,133.65,SIM,2268378.66,3000000.00,0
107,22031998,2,24,52,4,16,51,0,0,0,35,21494.23,3554,211.26,SIM,3171136.01,0,0
108,29031998,60,29,34,24,21,59,0,0,0,35,22511.72,2453,320.57,SIM,4116628.49,0,0
109,04041998,54,13,44,49,48,1,0,0,0,39,21153.30,3881,212.15,SIM,11523677.38,0,0
110,11041998,57,58,18,31,43,52,0,0,0,35,27771.48,3212,302.01,SIM,12690079.16,0,0
111,18041998,52,32,4,33,25,22,0,0,0,68,18082.94,6109,200.88,SIM,14165647.19,0,0
112,25041998,37,43,34,20,12,42,0,1,15802579.93,137,9957.01,8340,163.25,NAO,0,0,0
113,02051998,34,54,26,28,55,7,0,0,0,38,14269.55,2572,210.4,SIM,650691.40,0,0
114,09051998,47,54,18,6,12,37,0,0,0,71,9626.08,4908,138.99,SIM,1470833.69,0,0
115,16051998,6,14,24,20,4,38,0,0,0,78,9283.10,5091,141.95,SIM,2339731.79,0,0
116,23051998,36,42,32,5,13,51,10384878.00,0,0,64,11956.28,5270,144.91,SIM,3257973.62,4200000.00,0
117,30051998,53,42,27,20,33,25,0,0,0,36,22046.87,3822,207.26,SIM,4210398.41,0,0
118,06061998,22,57,37,9,25,56,0,0,0,53,16052.88,4342,195.56,SIM,5231361.36,0,0
119,13061998,47,21,1,50,36,38,0,0,0,21,38921.16,2691,303.13,SIM,13206225.91,0,0
120,20061998,46,45,16,40,27,3,0,0,0,92,13020.97,7073,169.04,SIM,14643740.70,0,0
121,27061998,53,41,44,2,29,55,0,0,0,45,28917.00,4554,285.17,SIM,16205258.33,0,0
122,04071998,20,43,39,11,53,17,0,0,0,83,18210.45,7203,209.43,SIM,18019018.95,0,0
123,11071998,13,42,16,32,14,26,0,0,0,176,12440.56,13159,166.06,SIM,20646465.28,0,0
124,18071998,52,5,34,57,15,41,0,1,24536288.72,188,17242.12,14019,230.76,NAO,0,0,0
125,25071998,56,47,25,59,53,41,0,0,0,46,15425.68,2784,254.38,SIM,851497.47,0,0
126,01081998,32,28,6,10,11,40,0,0,0,83,10052.56,5510,151.13,SIM,1852731.83,0,0
127,08081998,59,21,51,54,29,50,0,0,0,40,23638.47,2613,361.14,SIM,2987378.17,0,0
128,15081998,23,43,3,21,9,18,0,0,0,973,1024.41,11715,84.91,SIM,4183483.50,0,0
129,22081998,46,54,10,9,1,32,0,0,0,67,15634.41,5320,196.51,SIM,5440490.00,0,0
130,29081998,13,42,38,49,53,29,0,0,0,155,11796.24,11403,160.03,SIM,18814958.31,0,0
131,05091998,30,9,17,27,4,44,0,0,0,361,6811.67,21683,113.19,SIM,21765774.49,0,0
132,12091998,44,35,50,41,9,7,0,0,0,143,20846.64,12179,244.29,SIM,25343057.89,0,0
133,19091998,19,57,6,39,34,5,0,1,30533241.12,431,10035.16,29264,147.51,NAO,0,0,0
134,26091998,60,32,25,36,52,4,0,0,0,82,10253.38,4575,183.42,SIM,1008932.39,0,0
135,03101998,35,40,21,59,53,22,0,0,0,40,24573.18,3604,272.19,SIM,2188444.72,0,0
136,10101998,17,25,45,38,1,59,0,0,0,126,8435.36,7403,143.29,SIM,3463871.17,0,0
137,17101998,26,15,16,22,19,49,0,0,0,88,12675.49,6701,166.13,SIM,4802402.93,0,0
138,24101998,41,14,37,5,40,27,0,0,0,86,14074.36,6953,173.74,SIM,6254876.80,0,0
139,31101998,26,27,13,42,41,3,0,2,3902486.14,179,7216.46,9401,137.14,NAO,0,0,0
140,07111998,55,31,46,44,41,7,0,0,0,45,36581.33,4945,332.24,SIM,16453628.31,0,0
141,14111998,10,22,42,13,41,58,0,0,0,119,20106.10,10533,226.7,SIM,19324778.90,0,0
142,21111998,20,59,19,54,15,8,0,0,0,162,18143.56,13991,209.66,SIM,22851887.24,0,0
143,28111998,40,18,6,20,50,53,0,0,0,144,24792.99,10994,324.1,SIM,27136115.88,0,0
144,05121998,8,32,44,36,45,55,0,1,33597755.21,257,20952.14,23952,224.38,NAO,0,0,0
145,12121998,43,15,41,51,16,31,0,0,0,71,15061.27,3389,314.91,SIM,1283220.59,0,0
146,19121998,51,34,25,60,42,32,0,0,0,51,23923.45,4079,298.52,SIM,2747335.81,0,0
147,24121998,24,6,38,23,28,16,0,1,3805750.38,75,11760.17,5418,162.48,NAO,0,0,0
148,31121998,32,55,59,41,58,35,0,0,0,15,53660.04,2322,345.95,SIM,965880.61,0,0
149,09011999,11,45,48,7,28,20,0,0,0,106,9795.13,6290,164.74,SIM,2211820.94,0,0
150,16011999,50,44,12,55,52,54,0,0,0,56,36378.71,5540,367,SIM,21414530.14,0,0
151,23011999,3,43,16,56,52,20,0,1,24091811.02,152,14678.07,9869,225.62,NAO,0,0,0
152,30011999,12,5,15,51,58,29,0,0,0,75,11562.39,5041,172.03,SIM,1040614.80,0,0
153,06021999,47,2,31,42,45,30,0,0,0,47,22846.45,4218,254.57,SIM,2329154.62,0,0
154,13021999,8,10,24,33,45,48,0,0,0,144,7888.29,9252,122.78,SIM,3692251.60,0,0
155,20021999,12,32,44,43,35,30,0,1,4988808.21,67,16126.32,4974,217.22,NAO,0,0,0
156,27021999,52,23,42,17,55,49,0,0,0,74,11018.10,4455,183.02,SIM,978407.41,0,0
157,06031999,17,13,4,44,41,21,0,1,2140030.92,134,7224.03,8894,108.84,NAO,0,0,0
158,13031999,58,43,51,14,17,4,0,0,0,31,25856.53,3630,220.81,SIM,961863.12,0,0
159,20031999,16,9,50,58,11,35,0,1,2038170.67,57,15735.49,4124,217.49,NAO,0,0,0
160,27031999,13,42,52,58,2,54,0,0,0,74,19431.89,6132,234.5,SIM,11251511.63,0,0
161,03041999,25,37,30,39,6,41,0,0,0,95,14430.61,6865,199.69,SIM,12896601.04,0,0
162,10041999,23,33,51,38,48,21,0,0,0,92,20941.30,7244,265.96,SIM,15208520.83,0,0
163,17041999,41,56,27,36,53,8,0,2,8975833.36,146,15657.23,10793,211.8,NAO,0,0,0
164,24041999,4,19,14,10,44,28,0,0,0,111,7595.63,8386,100.54,SIM,1011737.90,0,0
165,01051999,39,56,19,23,10,35,0,2,1044444.54,75,11968.35,5378,166.91,NAO,0,0,0
166,08051999,60,57,59,13,12,22,0,0,0,47,17424.67,3371,242.95,SIM,982751.54,0,0
167,15051999,1,38,48,28,11,33,0,1,2100980.21,82,11364.11,4997,186.48,NAO,0,0,0
168,22051999,45,2,35,9,50,31,0,0,0,48,15743.70,3528,214.2,SIM,906836.93,0,0
169,29051999,52,51,37,13,21,1,0,0,0,65,13679.08,4489,198.07,SIM,1973804.91,0,0
170,05061999,7,51,55,41,58,46,0,0,0,50,32383.95,6257,258.78,SIM,13643095.71,0,0
171,12061999,54,27,4,43,40,46,0,1,16052410.83,134,14983.30,10378,193.46,NAO,0,0,0
172,19061999,49,36,14,26,35,10,0,0,0,64,13460.12,4592,186.89,SIM,1033736.70,0,0
173,26061999,29,28,49,17,42,50,0,1,2148316.42,40,23220.41,3610,256.32,NAO,0,0,0
174,03071999,11,52,22,23,36,59,0,0,0,44,17846.85,3217,243.18,SIM,942313.58,0,0
175,10071999,10,20,13,1,42,50,0,0,0,114,8094.08,7058,130.25,SIM,2049582.99,0,0
176,17071999,28,4,1,45,53,3,0,0,0,62,16696.39,5405,190.8,SIM,3291794.61,0,0
177,24071999,35,22,39,41,59,38,0,0,0,52,21716.29,4408,255.21,SIM,4646890.81,0,0
178,31071999,5,27,19,26,15,33,0,1,6129539.43,198,6240.11,13086,94.07,NAO,0,0,0
179,07081999,6,53,5,26,27,23,0,0,0,78,10281.59,5646,141.51,SIM,962357.04,0,0
180,14081999,39,6,29,60,51,23,0,0,0,111,15907.98,6978,252.09,SIM,12143009.93,0,0
181,21081999,33,1,55,35,51,27,0,0,0,182,11127.07,11797,171.02,SIM,14573162.71,0,0
182,28081999,46,60,5,10,28,3,0,0,0,239,9954.78,17413,136.13,SIM,17428194.22,0,0
183,04091999,16,11,7,40,44,2,0,0,0,306,9468.79,20677,139.6,SIM,20905131.40,0,0
184,11091999,9,60,21,16,41,34,0,0,0,217,14699.97,15462,205.53,SIM,24733003.15,0,0
185,18091999,59,17,22,46,43,55,0,0,0,366,12275.86,24849,180.13,SIM,30124561.09,0,0
186,25091999,24,26,51,25,14,23,0,0,0,352,17072.24,31164,192.1,SIM,37335874.86,0,0
187,02101999,6,44,58,41,36,48,0,0,0,397,23058.35,39365,231.66,SIM,48320873.60,0,0
188,10101999,34,42,43,46,27,17,0,1,64905517.65,1200,11517.11,90235,152.58,NAO,0,0,0
189,16101999,41,53,38,4,31,15,0,0,0,61,23476.18,5485,260.09,SIM,1718456.25,0,0
190,24101999,32,40,42,21,10,5,0,0,0,304,14923.96,21481,210.41,SIM,44895988.05,0,0
191,31101999,58,5,41,3,1,23,0,1,50968412.58,383,13212.41,30477,165.41,NAO,0,0,0
192,06111999,1,60,26,41,28,54,0,0,0,53,23005.08,4403,275.87,SIM,1463122.78,0,0
193,13111999,12,4,11,49,43,19,0,0,0,190,7199.87,11415,119.39,SIM,3104692.58,0,0
194,20111999,32,42,43,25,28,33,0,0,0,106,12862.40,7456,182.18,SIM,4740789.92,0,0
195,27111999,17,3,44,37,9,32,0,1,6370250.64,339,4005.56,13819,97.89,NAO,0,0,0
196,04121999,32,17,9,14,24,7,0,0,0,182,5309.16,10493,91.75,SIM,1159520.95,0,0
197,11121999,19,52,29,15,12,5,0,0,0,128,8259.15,8720,120.78,SIM,2428125.98,0,0
198,18121999,40,23,1,18,35,8,0,0,0,125,8881.02,7134,155.02,SIM,3760278.08,0,0
199,24121999,52,37,57,16,10,50,0,1,4915593.20,34,28316.55,3143,305.16,NAO,0,0,0
200,31121999,12,15,44,34,51,19,0,2,8829389.20,186,11008.48,13027,156.59,NAO,0,0,0
201,08012000,55,22,5,30,35,20,0,1,1038373.94,77,11237.81,4502,191.48,NAO,0,0,0
202,15012000,49,53,44,12,24,45,0,0,0,65,12412.65,4279,187.85,SIM,968186.82,0,0
203,22012000,11,55,44,19,29,47,0,0,0,63,14099.33,5417,163.36,SIM,2034096.14,0,0
204,29012000,31,41,51,39,58,29,0,0,0,32,30221.85,2400,401.43,SIM,3194615.19,0,0
205,05022000,26,32,54,43,46,40,0,1,4490339.49,71,15208.03,6014,178.86,NAO,0,0,0
206,12022000,20,26,56,18,34,51,0,0,0,43,17769.34,3478,218.86,SIM,916897.74,0,0
207,19022000,19,7,3,55,24,53,0,0,0,90,9663.76,6510,133.1,SIM,1960583.04,0,0
208,26022000,23,15,57,24,47,25,0,0,0,72,12679.18,5232,173.83,SIM,3056064.34,0,0
209,04032000,13,52,32,41,21,26,0,0,0,81,12349.82,5496,181.32,SIM,4256466.94,0,0
210,11032000,37,58,20,38,48,32,0,0,0,29,46721.17,3921,344.24,SIM,14043878.83,0,0
211,18032000,10,20,40,45,50,33,0,0,0,164,10880.27,16680,106.58,SIM,16185115.03,0,0
212,25032000,29,57,15,45,59,6,0,0,0,147,13318.79,9880,197.42,SIM,18534548.53,0,0
213,01042000,3,30,9,35,23,32,0,3,7089194.54,312,7299.77,18348,123.66,NAO,0,0,0
214,08042000,30,12,6,50,35,31,0,0,0,54,15578.04,3769,222.35,SIM,1009456.63,0,0
215,15042000,7,58,28,53,37,46,0,0,0,78,12078.40,4942,189.92,SIM,2139994.41,0,0
216,22042000,35,42,59,18,30,14,0,4,801057.55,91,9745.75,5049,175,NAO,0,0,0
217,29042000,27,32,3,51,49,45,0,0,0,159,4599.62,5820,125.19,SIM,877607.32,0,0
218,06052000,54,40,42,17,47,12,0,1,1878255.09,95,8777.61,4679,177.55,NAO,0,0,0
219,13052000,26,23,49,28,42,36,0,0,0,80,9221.78,5139,143.02,SIM,885291.29,0,0
220,20052000,36,53,55,13,60,14,0,1,12636751.12,125,12488.05,8067,192.78,NAO,0,0,0
221,27052000,54,13,58,43,50,27,0,0,0,49,14565.66,3793,187.45,SIM,856460.89,0,0
222,03062000,5,48,30,55,52,19,0,0,0,55,15243.16,4462,187.18,SIM,1862509.60,0,0
223,10062000,28,24,22,2,58,6,0,0,0,163,5838.31,7780,121.86,SIM,3004483.21,0,0
224,17062000,20,16,18,7,44,21,0,0,0,119,8706.35,7185,143.77,SIM,4247750.04,0,0
225,24062000,21,16,4,37,2,58,0,0,0,83,12542.39,5517,188.14,SIM,5496971.76,0,0
226,01072000,2,50,59,38,49,1,0,1,6916920.13,78,15170.39,4123,286.14,NAO,0,0,0
227,08072000,37,26,27,42,11,48,0,0,0,51,14471.45,3648,201.72,SIM,885652.57,0,0
228,15072000,16,40,45,59,43,13,0,0,0,64,13240.28,4497,187.87,SIM,1902506.15,0,0
229,22072000,39,45,11,21,33,13,0,1,2992781.57,121,7508.79,7685,117.88,NAO,0,0,0
230,29072000,56,44,41,40,8,53,0,0,0,94,15000.56,5820,241.56,SIM,9547336.00,0,0
231,05082000,16,59,27,42,44,36,0,0,0,125,12896.11,9458,169.93,SIM,11481752.44,0,0
232,12082000,29,19,41,22,37,59,0,0,0,124,14598.36,8807,204.93,SIM,13653988.77,0,0
233,19082000,45,3,24,36,7,32,0,5,3196547.03,512,3790.28,21452,90.2,NAO,0,0,0
234,26082000,15,45,54,25,42,41,0,0,0,39,19369.91,3505,214.89,SIM,906511.63,0,0
235,02092000,29,41,55,2,31,22,0,0,0,52,16604.49,3086,278.96,SIM,1942631.63,0,0
236,09092000,10,52,50,57,25,60,0,0,0,76,12197.95,4703,196.53,SIM,3055084.91,0,0
237,16092000,36,7,45,31,56,57,0,0,0,54,19896.75,4145,258.44,SIM,4344394.18,0,0
238,23092000,15,9,41,13,37,42,0,4,1429476.11,188,6088.25,10483,108.86,NAO,0,0,0
239,30092000,33,21,44,46,47,6,0,1,866183.32,30,24060.65,3826,188.1,NAO,0,0,0
240,07102000,59,28,25,41,57,38,0,0,0,103,15200.74,6244,250,SIM,11686511.34,0,0
241,14102000,11,57,40,35,56,31,0,0,0,74,22811.94,5485,306.85,SIM,13712211.55,0,0
242,21102000,22,7,4,21,28,56,0,0,0,203,9933.73,13497,148.97,SIM,16132069.11,0,0
243,28102000,20,47,23,32,16,11,0,0,0,180,12019.97,13705,157.4,SIM,18728383.13,0,0
244,04112000,19,60,50,24,47,33,0,0,0,204,13698.02,14735,189.08,SIM,22081659.67,0,0
245,11112000,44,51,27,53,8,60,0,3,9153484.88,283,15838.62,21593,206.96,NAO,0,0,0
246,18112000,2,57,32,43,16,37,0,0,0,93,9292.06,5429,158.71,SIM,1036993.80,0,0
247,25112000,34,3,30,10,23,46,0,0,0,80,12080.19,6425,149.96,SIM,2196692.29,0,0
248,02122000,56,16,34,41,35,32,0,0,0,50,21550.72,4862,220.96,SIM,3489735.08,0,0
249,09122000,21,55,54,40,36,49,0,0,0,60,19680.20,4247,277.21,SIM,4906709.76,0,0
250,16122000,55,25,41,42,43,7,0,0,0,203,10867.31,15545,141.5,SIM,22593628.59,0,0
251,23122000,34,15,23,55,49,30,0,0,0,180,15473.98,12813,216.73,SIM,25936007.67,0,0
252,30122000,17,54,4,51,32,26,0,2,15107002.24,354,10070.62,22122,160.67,NAO,0,0,0
253,06012001,12,11,56,44,24,37,0,0,0,126,6985.77,7260,120.88,SIM,1056248.75,0,0
254,13012001,4,30,56,21,22,1,0,0,0,66,16400.47,6381,169.14,SIM,2355166.17,0,0
255,20012001,32,44,55,19,20,16,0,0,0,80,14363.63,6812,168.19,SIM,3734074.48,0,0
256,27012001,21,52,34,26,2,32,0,0,0,91,13336.96,6319,191.49,SIM,5190470.09,0,0
257,03022001,28,5,1,34,4,19,0,1,6808483.96,175,7704.83,11706,114.84,NAO,0,0,0
258,10022001,12,60,54,7,55,50,0,0,0,53,15960.68,3615,233.3,SIM,1015099.19,0,0
259,17022001,20,43,33,13,15,58,0,0,0,65,15136.22,5581,175.77,SIM,2195724.03,0,0
