@relation custofazenda
@attribute 'Ref_Date'	 {'01','02','03','04'}
@attribute 'GEO'  {'Nova Scotia','Western Canada','Manitoba','Canada','Ontario','Quebec','Eastern Canada','Prince Edward Island','Newfoundland and Labrador','New Brunswick','Alberta','British Columbia','Saskatchewan'}
@attribute 'custo'  {'Other fertilizers','Depreciation on machinery and motor vehicles','Farm input total','Machine repairs','Machinery fuel','General business costs', 'Poultry','Grain feed','Cash wages in Crop production','Crop production','Fertilizer','Prepared feed','Animalrelated custom work','Machinery and motor vehicles','Depreciation on machinery','Commercial seed and plant','Depreciation on motor vehicles','Pesticides','Production insurance','Cash wages in animal production','Stabilization premiums','Croprelated custom work','Nitrogen fertilizers','Twine wire and containers','Commercial feed','Veterinary fees and drugs','Livestock purchases','Cattle','Buldings','Animal production','Hogs'}
@data
'01','Canada','Fertilizer'
'02','Canada','Fertilizer'
'03','Canada','Fertilizer'
'04','Canada','Fertilizer'
'01','Canada','Fertilizer'
'02','Canada','Fertilizer'
'03','Canada','Fertilizer'
'04','Canada','Fertilizer'
'01','Canada','Fertilizer'
'02','Canada','Fertilizer'
'03','Canada','Fertilizer'
'04','Canada','Fertilizer'
'01','Canada','Nitrogen fertilizers'
'02','Canada','Nitrogen fertilizers'
'03','Canada','Nitrogen fertilizers'
'04','Canada','Nitrogen fertilizers'
'01','Canada','Nitrogen fertilizers'
'02','Canada','Nitrogen fertilizers'
'03','Canada','Nitrogen fertilizers'
'04','Canada','Nitrogen fertilizers'
'01','Canada','Nitrogen fertilizers'
'02','Canada','Nitrogen fertilizers'
'03','Canada','Nitrogen fertilizers'
'04','Canada','Nitrogen fertilizers'
'01','Canada','Nitrogen fertilizers'
'02','Canada','Nitrogen fertilizers'
'03','Canada','Nitrogen fertilizers'
'04','Canada','Nitrogen fertilizers'
'01','Canada','Nitrogen fertilizers'
'02','Canada','Nitrogen fertilizers'
'03','Canada','Nitrogen fertilizers'
'04','Canada','Nitrogen fertilizers'
'01','Canada','Nitrogen fertilizers'
'02','Canada','Nitrogen fertilizers'
'03','Canada','Nitrogen fertilizers'
'04','Canada','Nitrogen fertilizers'
'01','Canada','Nitrogen fertilizers'
'02','Canada','Nitrogen fertilizers'
'03','Canada','Nitrogen fertilizers'
'04','Canada','Nitrogen fertilizers'
'01','Canada','Nitrogen fertilizers'
'02','Canada','Nitrogen fertilizers'
'03','Canada','Nitrogen fertilizers'
'04','Canada','Nitrogen fertilizers'
'01','Canada','Nitrogen fertilizers'
'02','Canada','Nitrogen fertilizers'
'03','Canada','Nitrogen fertilizers'
'04','Canada','Nitrogen fertilizers'
'01','Canada','Nitrogen fertilizers'
'02','Canada','Nitrogen fertilizers'
'03','Canada','Nitrogen fertilizers'
'04','Canada','Nitrogen fertilizers'
'01','Canada','Nitrogen fertilizers'
'02','Canada','Nitrogen fertilizers'
'03','Canada','Nitrogen fertilizers'
'04','Canada','Nitrogen fertilizers'
'01','Canada','Other fertilizers'
'02','Canada','Other fertilizers'
'03','Canada','Other fertilizers'
'04','Canada','Other fertilizers'
'01','Canada','Other fertilizers'
'02','Canada','Other fertilizers'
'03','Canada','Other fertilizers'
'04','Canada','Other fertilizers'
'01','Canada','Other fertilizers'
'02','Canada','Other fertilizers'
'03','Canada','Other fertilizers'
'04','Canada','Other fertilizers'
'01','Canada','Other fertilizers'
'02','Canada','Other fertilizers'
'03','Canada','Other fertilizers'
'04','Canada','Other fertilizers'
'01','Canada','Other fertilizers'
'02','Canada','Other fertilizers'
'03','Canada','Other fertilizers'
'04','Canada','Other fertilizers'
'01','Canada','Other fertilizers'
'02','Canada','Other fertilizers'
'03','Canada','Other fertilizers'
'04','Canada','Other fertilizers'
'01','Canada','Other fertilizers'
'02','Canada','Other fertilizers'
'03','Canada','Other fertilizers'
'04','Canada','Other fertilizers'
'01','Canada','Other fertilizers'
'02','Canada','Other fertilizers'
'03','Canada','Other fertilizers'
'04','Canada','Other fertilizers'
'01','Canada','Other fertilizers'
'02','Canada','Other fertilizers'
'03','Canada','Other fertilizers'
'04','Canada','Other fertilizers'
'01','Canada','Other fertilizers'
'02','Canada','Other fertilizers'
'03','Canada','Other fertilizers'
'04','Canada','Other fertilizers'
'01','Canada','Other fertilizers'
'02','Canada','Other fertilizers'
'03','Canada','Other fertilizers'
'04','Canada','Other fertilizers'
'01','Canada','Pesticides'
'02','Canada','Pesticides'
'03','Canada','Pesticides'
'04','Canada','Pesticides'
'01','Canada','Pesticides'
'02','Canada','Pesticides'
'03','Canada','Pesticides'
'04','Canada','Pesticides'
'01','Canada','Pesticides'
'02','Canada','Pesticides'
'03','Canada','Pesticides'
'04','Canada','Pesticides'
'01','Canada','Pesticides'
'02','Canada','Pesticides'
'03','Canada','Pesticides'
'04','Canada','Pesticides'
'01','Canada','Pesticides'
'02','Canada','Pesticides'
'03','Canada','Pesticides'
'04','Canada','Pesticides'
'01','Canada','Pesticides'
'02','Canada','Pesticides'
'03','Canada','Pesticides'
'04','Canada','Pesticides'
'01','Canada','Pesticides'
'02','Canada','Pesticides'
'03','Canada','Pesticides'
'04','Canada','Pesticides'
'01','Canada','Pesticides'
'02','Canada','Pesticides'
'03','Canada','Pesticides'
'04','Canada','Pesticides'
'01','Canada','Pesticides'
'02','Canada','Pesticides'
'03','Canada','Pesticides'
'04','Canada','Pesticides'
'01','Canada','Pesticides'
'02','Canada','Pesticides'
'03','Canada','Pesticides'
'04','Canada','Pesticides'
'01','Canada','Pesticides'
'02','Canada','Pesticides'
'03','Canada','Pesticides'
'04','Canada','Pesticides'
'01','Canada','Twine wire and containers'
'02','Canada','Twine wire and containers'
'03','Canada','Twine wire and containers'
'04','Canada','Twine wire and containers'
'01','Canada','Twine wire and containers'
'02','Canada','Twine wire and containers'
'03','Canada','Twine wire and containers'
'04','Canada','Twine wire and containers'
'01','Canada','Twine wire and containers'
'02','Canada','Twine wire and containers'
'03','Canada','Twine wire and containers'
'04','Canada','Twine wire and containers'
'01','Canada','Twine wire and containers'
'02','Canada','Twine wire and containers'
'03','Canada','Twine wire and containers'
'04','Canada','Twine wire and containers'
'01','Canada','Twine wire and containers'
'02','Canada','Twine wire and containers'
'03','Canada','Twine wire and containers'
'04','Canada','Twine wire and containers'
'01','Canada','Twine wire and containers'
'02','Canada','Twine wire and containers'
'03','Canada','Twine wire and containers'
'04','Canada','Twine wire and containers'
'01','Canada','Twine wire and containers'
'02','Canada','Twine wire and containers'
'03','Canada','Twine wire and containers'
'04','Canada','Twine wire and containers'
'01','Canada','Twine wire and containers'
'02','Canada','Twine wire and containers'
'03','Canada','Twine wire and containers'
'04','Canada','Twine wire and containers'
'01','Canada','Twine wire and containers'
'02','Canada','Twine wire and containers'
'03','Canada','Twine wire and containers'
'04','Canada','Twine wire and containers'
'01','Canada','Twine wire and containers'
'02','Canada','Twine wire and containers'
'03','Canada','Twine wire and containers'
'04','Canada','Twine wire and containers'
'01','Canada','Twine wire and containers'
'02','Canada','Twine wire and containers'
'03','Canada','Twine wire and containers'
'04','Canada','Twine wire and containers'
'01','Canada','Production insurance'
'02','Canada','Production insurance'
'03','Canada','Production insurance'
'04','Canada','Production insurance'
'01','Canada','Production insurance'
'02','Canada','Production insurance'
'03','Canada','Production insurance'
'04','Canada','Production insurance'
'01','Canada','Production insurance'
'02','Canada','Production insurance'
'03','Canada','Production insurance'
'04','Canada','Production insurance'
'01','Canada','Production insurance'
'02','Canada','Production insurance'
'03','Canada','Production insurance'
'04','Canada','Production insurance'
'01','Canada','Production insurance'
'02','Canada','Production insurance'
'03','Canada','Production insurance'
'04','Canada','Production insurance'
'01','Canada','Production insurance'
'02','Canada','Production insurance'
'03','Canada','Production insurance'
'04','Canada','Production insurance'
'01','Canada','Production insurance'
'02','Canada','Production insurance'
'03','Canada','Production insurance'
'04','Canada','Production insurance'
'01','Canada','Production insurance'
'02','Canada','Production insurance'
'03','Canada','Production insurance'
'04','Canada','Production insurance'
'01','Canada','Production insurance'
'02','Canada','Production insurance'
'03','Canada','Production insurance'
'04','Canada','Production insurance'
'01','Canada','Production insurance'
'02','Canada','Production insurance'
'03','Canada','Production insurance'
'04','Canada','Production insurance'
'01','Canada','Depreciation on machinery and motor vehicles'
'02','Canada','Depreciation on machinery and motor vehicles'
'03','Canada','Depreciation on machinery and motor vehicles'
'04','Canada','Depreciation on machinery and motor vehicles'
'01','Canada','Depreciation on machinery and motor vehicles'
'02','Canada','Depreciation on machinery and motor vehicles'
'03','Canada','Depreciation on machinery and motor vehicles'
'04','Canada','Depreciation on machinery and motor vehicles'
'01','Canada','Depreciation on machinery and motor vehicles'
'02','Canada','Depreciation on machinery and motor vehicles'
'03','Canada','Depreciation on machinery and motor vehicles'
'01','Canada','Farm input total'
'02','Canada','Farm input total'
'03','Canada','Farm input total'
'04','Canada','Farm input total'
'01','Canada','Farm input total'
'02','Canada','Farm input total'
'03','Canada','Farm input total'
'04','Canada','Farm input total'
'01','Canada','Farm input total'
'02','Canada','Farm input total'
'03','Canada','Farm input total'
'04','Canada','Farm input total'
'01','Canada','Farm input total'
'02','Canada','Farm input total'
'03','Canada','Farm input total'
'04','Canada','Farm input total'
'01','Canada','Farm input total'
'02','Canada','Farm input total'
'03','Canada','Farm input total'
'04','Canada','Farm input total'
'01','Canada','Farm input total'
'02','Canada','Farm input total'
'03','Canada','Farm input total'
'04','Canada','Farm input total'
'01','Canada','Farm input total'
'02','Canada','Farm input total'
'03','Canada','Farm input total'
'04','Canada','Farm input total'
'01','Canada','Farm input total'
'02','Canada','Farm input total'
'03','Canada','Farm input total'
'04','Canada','Farm input total'
'01','Canada','Farm input total'
'02','Canada','Farm input total'
'03','Canada','Farm input total'
'04','Canada','Farm input total'
'01','Canada','Farm input total'
'02','Canada','Farm input total'
'03','Canada','Farm input total'
'04','Canada','Farm input total'
'01','Canada','Farm input total'
'02','Canada','Farm input total'
'03','Canada','Farm input total'
'04','Canada','Farm input total'
'01','Canada','Buldings'
'02','Canada','Buldings'
'03','Canada','Buldings'
'04','Canada','Buldings'
'01','Canada','Buldings'
'02','Canada','Buldings'
'03','Canada','Buldings'
'04','Canada','Buldings'
'01','Canada','Buldings'
'02','Canada','Buldings'
'03','Canada','Buldings'
'04','Canada','Buldings'
'01','Canada','Buldings'
'02','Canada','Buldings'
'03','Canada','Buldings'
'04','Canada','Buldings'
'01','Canada','Buldings'
'02','Canada','Buldings'
'03','Canada','Buldings'
'04','Canada','Buldings'
'01','Canada','Buldings'
'02','Canada','Buldings'
'03','Canada','Buldings'
'04','Canada','Buldings'
'01','Canada','Buldings'
'02','Canada','Buldings'
'03','Canada','Buldings'
'04','Canada','Buldings'
'01','Canada','Buldings'
'02','Canada','Buldings'
'03','Canada','Buldings'
'04','Canada','Buldings'
'01','Canada','Buldings'
'02','Canada','Buldings'
'03','Canada','Buldings'
'04','Canada','Buldings'
'01','Canada','Buldings'
'02','Canada','Buldings'
'03','Canada','Buldings'
'04','Canada','Buldings'
'01','Canada','Buldings'
'02','Canada','Buldings'
'03','Canada','Buldings'
'04','Canada','Buldings'
'01','Canada','Machinery and motor vehicles'
'02','Canada','Machinery and motor vehicles'
'03','Canada','Machinery and motor vehicles'
'04','Canada','Machinery and motor vehicles'
'01','Canada','Machinery and motor vehicles'
'02','Canada','Machinery and motor vehicles'
'03','Canada','Machinery and motor vehicles'
'04','Canada','Machinery and motor vehicles'
'01','Canada','Machinery and motor vehicles'
'02','Canada','Machinery and motor vehicles'
'03','Canada','Machinery and motor vehicles'
'04','Canada','Machinery and motor vehicles'
'01','Canada','Machinery and motor vehicles'
'02','Canada','Machinery and motor vehicles'
'03','Canada','Machinery and motor vehicles'
'04','Canada','Machinery and motor vehicles'
'01','Canada','Machinery and motor vehicles'
'02','Canada','Machinery and motor vehicles'
'03','Canada','Machinery and motor vehicles'
'04','Canada','Machinery and motor vehicles'
'01','Canada','Machinery and motor vehicles'
'02','Canada','Machinery and motor vehicles'
'03','Canada','Machinery and motor vehicles'
'04','Canada','Machinery and motor vehicles'
'01','Canada','Machinery and motor vehicles'
'02','Canada','Machinery and motor vehicles'
'03','Canada','Machinery and motor vehicles'
'04','Canada','Machinery and motor vehicles'
'01','Canada','Machinery and motor vehicles'
'02','Canada','Machinery and motor vehicles'
'03','Canada','Machinery and motor vehicles'
'04','Canada','Machinery and motor vehicles'
'01','Canada','Machinery and motor vehicles'
'02','Canada','Machinery and motor vehicles'
'03','Canada','Machinery and motor vehicles'
'04','Canada','Machinery and motor vehicles'
'01','Canada','Machinery and motor vehicles'
'02','Canada','Machinery and motor vehicles'
'03','Canada','Machinery and motor vehicles'
'04','Canada','Machinery and motor vehicles'
'01','Canada','Machinery and motor vehicles'
'02','Canada','Machinery and motor vehicles'
'03','Canada','Machinery and motor vehicles'
'04','Canada','Machinery and motor vehicles'
'01','Canada','Depreciation on machinery and motor vehicles'
'02','Canada','Depreciation on machinery and motor vehicles'
'03','Canada','Depreciation on machinery and motor vehicles'
'04','Canada','Depreciation on machinery and motor vehicles'
'04','Canada','Depreciation on machinery and motor vehicles'
'01','Canada','Depreciation on machinery and motor vehicles'
'02','Canada','Depreciation on machinery and motor vehicles'
'03','Canada','Depreciation on machinery and motor vehicles'
'04','Canada','Depreciation on machinery and motor vehicles'
'01','Canada','Depreciation on machinery and motor vehicles'
'02','Canada','Depreciation on machinery and motor vehicles'
'03','Canada','Depreciation on machinery and motor vehicles'
'04','Canada','Depreciation on machinery and motor vehicles'
'01','Canada','Depreciation on machinery and motor vehicles'
'02','Canada','Depreciation on machinery and motor vehicles'
'03','Canada','Depreciation on machinery and motor vehicles'
'04','Canada','Depreciation on machinery and motor vehicles'
'01','Canada','Depreciation on machinery and motor vehicles'
'02','Canada','Depreciation on machinery and motor vehicles'
'03','Canada','Depreciation on machinery and motor vehicles'
'04','Canada','Depreciation on machinery and motor vehicles'
'01','Canada','Depreciation on machinery and motor vehicles'
'02','Canada','Depreciation on machinery and motor vehicles'
'03','Canada','Depreciation on machinery and motor vehicles'
'04','Canada','Depreciation on machinery and motor vehicles'
'01','Canada','Depreciation on machinery and motor vehicles'
'02','Canada','Depreciation on machinery and motor vehicles'
'03','Canada','Depreciation on machinery and motor vehicles'
'04','Canada','Depreciation on machinery and motor vehicles'
'01','Canada','Depreciation on machinery and motor vehicles'
'02','Canada','Depreciation on machinery and motor vehicles'
'03','Canada','Depreciation on machinery and motor vehicles'
'04','Canada','Depreciation on machinery and motor vehicles'
'01','Canada','Depreciation on machinery'
'02','Canada','Depreciation on machinery'
'03','Canada','Depreciation on machinery'
'04','Canada','Depreciation on machinery'
'01','Canada','Depreciation on machinery'
'02','Canada','Depreciation on machinery'
'03','Canada','Depreciation on machinery'
'04','Canada','Depreciation on machinery'
'01','Canada','Depreciation on machinery'
'02','Canada','Depreciation on machinery'
'03','Canada','Depreciation on machinery'
'04','Canada','Depreciation on machinery'
'01','Canada','Depreciation on machinery'
'02','Canada','Depreciation on machinery'
'03','Canada','Depreciation on machinery'
'04','Canada','Depreciation on machinery'
'01','Canada','Depreciation on machinery'
'02','Canada','Depreciation on machinery'
'03','Canada','Depreciation on machinery'
'04','Canada','Depreciation on machinery'
'01','Canada','Depreciation on machinery'
'02','Canada','Depreciation on machinery'
'03','Canada','Depreciation on machinery'
'04','Canada','Depreciation on machinery'
'01','Canada','Depreciation on machinery'
'02','Canada','Depreciation on machinery'
'03','Canada','Depreciation on machinery'
'04','Canada','Depreciation on machinery'
'01','Canada','Depreciation on machinery'
'02','Canada','Depreciation on machinery'
'03','Canada','Depreciation on machinery'
'04','Canada','Depreciation on machinery'
'01','Canada','Depreciation on machinery'
'02','Canada','Depreciation on machinery'
'03','Canada','Depreciation on machinery'
'04','Canada','Depreciation on machinery'
'01','Canada','Depreciation on machinery'
'02','Canada','Depreciation on machinery'
'03','Canada','Depreciation on machinery'
'04','Canada','Depreciation on machinery'
'01','Canada','Depreciation on machinery'
'02','Canada','Depreciation on machinery'
'03','Canada','Depreciation on machinery'
'04','Canada','Depreciation on machinery'
'01','Canada','Depreciation on motor vehicles'
'02','Canada','Depreciation on motor vehicles'
'03','Canada','Depreciation on motor vehicles'
'04','Canada','Depreciation on motor vehicles'
'01','Canada','Depreciation on motor vehicles'
'02','Canada','Depreciation on motor vehicles'
'03','Canada','Depreciation on motor vehicles'
'04','Canada','Depreciation on motor vehicles'
'01','Canada','Depreciation on motor vehicles'
'02','Canada','Depreciation on motor vehicles'
'03','Canada','Depreciation on motor vehicles'
'04','Canada','Depreciation on motor vehicles'
'01','Canada','Depreciation on motor vehicles'
'02','Canada','Depreciation on motor vehicles'
'03','Canada','Depreciation on motor vehicles'
'04','Canada','Depreciation on motor vehicles'
'01','Canada','Depreciation on motor vehicles'
'02','Canada','Depreciation on motor vehicles'
'03','Canada','Depreciation on motor vehicles'
'04','Canada','Depreciation on motor vehicles'
'01','Canada','Depreciation on motor vehicles'
'02','Canada','Depreciation on motor vehicles'
'03','Canada','Depreciation on motor vehicles'
'04','Canada','Depreciation on motor vehicles'
'01','Canada','Depreciation on motor vehicles'
'02','Canada','Depreciation on motor vehicles'
'03','Canada','Depreciation on motor vehicles'
'04','Canada','Depreciation on motor vehicles'
'01','Canada','Depreciation on motor vehicles'
'02','Canada','Depreciation on motor vehicles'
'03','Canada','Depreciation on motor vehicles'
'04','Canada','Depreciation on motor vehicles'
'01','Canada','Depreciation on motor vehicles'
'02','Canada','Depreciation on motor vehicles'
'03','Canada','Depreciation on motor vehicles'
'04','Canada','Depreciation on motor vehicles'
'01','Canada','Depreciation on motor vehicles'
'02','Canada','Depreciation on motor vehicles'
'03','Canada','Depreciation on motor vehicles'
'04','Canada','Depreciation on motor vehicles'
'01','Canada','Depreciation on motor vehicles'
'02','Canada','Depreciation on motor vehicles'
'03','Canada','Depreciation on motor vehicles'
'04','Canada','Depreciation on motor vehicles'
'01','Canada','Machinery fuel'
'02','Canada','Machinery fuel'
'03','Canada','Machinery fuel'
'04','Canada','Machinery fuel'
'01','Canada','Machinery fuel'
'02','Canada','Machinery fuel'
'03','Canada','Machinery fuel'
'04','Canada','Machinery fuel'
'01','Canada','Machinery fuel'
'02','Canada','Machinery fuel'
'03','Canada','Machinery fuel'
'04','Canada','Machinery fuel'
'01','Canada','Machinery fuel'
'02','Canada','Machinery fuel'
'03','Canada','Machinery fuel'
'04','Canada','Machinery fuel'
'01','Canada','Machinery fuel'
'02','Canada','Machinery fuel'
'03','Canada','Machinery fuel'
'04','Canada','Machinery fuel'
'01','Canada','Machinery fuel'
'02','Canada','Machinery fuel'
'03','Canada','Machinery fuel'
'04','Canada','Machinery fuel'
'01','Canada','Machinery fuel'
'02','Canada','Machinery fuel'
'03','Canada','Machinery fuel'
'04','Canada','Machinery fuel'
'01','Canada','Machinery fuel'
'02','Canada','Machinery fuel'
'03','Canada','Machinery fuel'
'04','Canada','Machinery fuel'
'01','Canada','Machinery fuel'
'02','Canada','Machinery fuel'
'03','Canada','Machinery fuel'
'04','Canada','Machinery fuel'
'01','Canada','Machinery fuel'
'02','Canada','Machinery fuel'
'03','Canada','Machinery fuel'
'04','Canada','Machinery fuel'
'01','Canada','Machinery fuel'
'02','Canada','Machinery fuel'
'03','Canada','Machinery fuel'
'04','Canada','Machinery fuel'
'01','Canada','Machine repairs'
'02','Canada','Machine repairs'
'03','Canada','Machine repairs'
'04','Canada','Machine repairs'
'01','Canada','Machine repairs'
'02','Canada','Machine repairs'
'03','Canada','Machine repairs'
'04','Canada','Machine repairs'
'01','Canada','Machine repairs'
'02','Canada','Machine repairs'
'03','Canada','Machine repairs'
'04','Canada','Machine repairs'
'01','Canada','Machine repairs'
'02','Canada','Machine repairs'
'03','Canada','Machine repairs'
'04','Canada','Machine repairs'
'01','Canada','Machine repairs'
'02','Canada','Machine repairs'
'03','Canada','Machine repairs'
'04','Canada','Machine repairs'
'01','Canada','Machine repairs'
'02','Canada','Machine repairs'
'03','Canada','Machine repairs'
'04','Canada','Machine repairs'
'01','Canada','Machine repairs'
'02','Canada','Machine repairs'
'03','Canada','Machine repairs'
'04','Canada','Machine repairs'
'01','Canada','Machine repairs'
'02','Canada','Machine repairs'
'03','Canada','Machine repairs'
'04','Canada','Machine repairs'
'01','Canada','Machine repairs'
'02','Canada','Machine repairs'
'03','Canada','Machine repairs'
'04','Canada','Machine repairs'
'01','Canada','Machine repairs'
'02','Canada','Machine repairs'
'03','Canada','Machine repairs'
'04','Canada','Machine repairs'
'01','Canada','Machine repairs'
'02','Canada','Machine repairs'
'03','Canada','Machine repairs'
'04','Canada','Machine repairs'
'01','Canada','General business costs'
'02','Canada','General business costs'
'03','Canada','General business costs'
'04','Canada','General business costs'
'01','Canada','General business costs'
'02','Canada','General business costs'
'03','Canada','General business costs'
'04','Canada','General business costs'
'01','Canada','General business costs'
'02','Canada','General business costs'
'03','Canada','General business costs'
'04','Canada','General business costs'
'01','Canada','General business costs'
'02','Canada','General business costs'
'03','Canada','General business costs'
'04','Canada','General business costs'
'01','Canada','General business costs'
'02','Canada','General business costs'
'03','Canada','General business costs'
'04','Canada','General business costs'
'01','Canada','General business costs'
'02','Canada','General business costs'
'03','Canada','General business costs'
'04','Canada','General business costs'
'01','Canada','General business costs'
'02','Canada','General business costs'
'03','Canada','General business costs'
'04','Canada','General business costs'
'01','Canada','General business costs'
'02','Canada','General business costs'
'03','Canada','General business costs'
'04','Canada','General business costs'
'01','Canada','General business costs'
'02','Canada','General business costs'
'03','Canada','General business costs'
'04','Canada','General business costs'
'01','Canada','General business costs'
'02','Canada','General business costs'
'03','Canada','General business costs'
'04','Canada','General business costs'
'01','Canada','General business costs'
'02','Canada','General business costs'
'03','Canada','General business costs'
'04','Canada','General business costs'
'01','Canada','Crop production'
'02','Canada','Crop production'
'03','Canada','Crop production'
'04','Canada','Crop production'
'01','Canada','Crop production'
'02','Canada','Crop production'
'03','Canada','Crop production'
'04','Canada','Crop production'
'01','Canada','Crop production'
'02','Canada','Crop production'
'03','Canada','Crop production'
'04','Canada','Crop production'
'01','Canada','Crop production'
'02','Canada','Crop production'
'03','Canada','Crop production'
'04','Canada','Crop production'
'01','Canada','Crop production'
'02','Canada','Crop production'
'03','Canada','Crop production'
'04','Canada','Crop production'
'01','Canada','Crop production'
'02','Canada','Crop production'
'03','Canada','Crop production'
'04','Canada','Crop production'
'01','Canada','Crop production'
'02','Canada','Crop production'
'03','Canada','Crop production'
'04','Canada','Crop production'
'01','Canada','Crop production'
'02','Canada','Crop production'
'03','Canada','Crop production'
'04','Canada','Crop production'
'04','Canada','Poultry'
'01','Canada','Poultry'
'02','Canada','Poultry'
'03','Canada','Poultry'
'04','Canada','Poultry'
'01','Canada','Poultry'
'02','Canada','Poultry'
'03','Canada','Poultry'
'04','Canada','Poultry'
'01','Canada','Poultry'
'02','Canada','Poultry'
'03','Canada','Poultry'
'04','Canada','Poultry'
'01','Canada','Poultry'
'02','Canada','Poultry'
'03','Canada','Poultry'
'04','Canada','Poultry'
'01','Canada','Poultry'
'02','Canada','Poultry'
'03','Canada','Poultry'
'04','Canada','Poultry'
'01','Canada','Poultry'
'02','Canada','Poultry'
'03','Canada','Poultry'
'04','Canada','Poultry'
'01','Canada','Commercial feed'
'02','Canada','Commercial feed'
'03','Canada','Commercial feed'
'04','Canada','Commercial feed'
'01','Canada','Commercial feed'
'02','Canada','Commercial feed'
'03','Canada','Commercial feed'
'04','Canada','Commercial feed'
'01','Canada','Commercial feed'
'02','Canada','Commercial feed'
'03','Canada','Commercial feed'
'04','Canada','Commercial feed'
'01','Canada','Commercial feed'
'02','Canada','Commercial feed'
'03','Canada','Commercial feed'
'04','Canada','Commercial feed'
'01','Canada','Commercial feed'
'02','Canada','Commercial feed'
'03','Canada','Commercial feed'
'04','Canada','Commercial feed'
'01','Canada','Commercial feed'
'02','Canada','Commercial feed'
'03','Canada','Commercial feed'
'04','Canada','Commercial feed'
'01','Canada','Commercial feed'
'02','Canada','Commercial feed'
'03','Canada','Commercial feed'
'04','Canada','Commercial feed'
'01','Canada','Commercial feed'
'02','Canada','Commercial feed'
'03','Canada','Commercial feed'
'04','Canada','Commercial feed'
'01','Canada','Commercial feed'
